attribute,attribute_dictText,browse,category,category_dictText,id,introduction,isTop,labelIds,level,logoUrl,name,price,purchase,supplierName,themeId,themeId_dictText,totalPrice,type,updateTime
,,343,,,1751602206185402369,为用户提供多语种的旅游资讯，包括景点介绍、旅游攻略、文化习俗等，帮助来自不同国家和地区的游客更好地了解旅游目的地。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,多语种旅游信息查询服务,0元,2,福建大数据一级开发有限公司,,,0.0,3,
,,419,,,1751602205984075778,整合福建省各职业健康检查机构的相关数据，为用户提供便捷的查询服务，包括机构名称、资质情况、检查项目及价格等信息，帮助用户选择适合的职业健康检查机构进行健康检查服务。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,职业健康检查机构查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,327,,,1751602205757583361,提供查询施工项目的许可证信息，包括许可证编号、项目名称、施工单位等，帮助用户了解施工项目的合法性和相关信息。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,施工许可信息查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,455,,,1751602205547868161,通过综合评估企业的医保缴纳情况，为用户提供企业医保缴纳的指数，用于评估企业的员工健康保障程度和社会责任感。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,企业医保缴纳指数,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,273,,,1751602205296209921,提供住建行业企业的信用评价结果，包括信用分数或等级、综合排名等信息，帮助用户了解企业的信用状况。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,住建行业企业信用评级查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,256,,,1751602205073911809,查询特定品类在不同地区的监测对象分布情况，帮助企业或研究人员了解市场分布情况。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,地区监测对象分布查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,272,,,1751602204864196609,查询企业的环保相关信息，包括企业名称、地址、环保投资等，用于环保管理和公众了解企业环保情况。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,企业环保基本信息查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,374,,,1751602204658675713,通过查询工商行政管理机构的数据和公开信息，为用户提供企业的官方邮箱信息，帮助用户与企业进行沟通和交流，用于商务合作、供应商选择等方面。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,企业邮箱查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,240,,,1751602204440571905,提供空气质量监测点的详细信息，包括监测点位置、类型、是否在监测等，方便公众了解空气质量监测网络布局。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,空气质量监测点位查询服务,0元,0,福建大数据一级开发有限公司,,,0.0,3,
,,243,,,1751602204235051009,通过分析企业的财务数据和资金流动情况，运用财务健康分析模型和现金流分析，为用户提供企业资金健康度的指数，用于评估企业的资金状况和财务风险。,2,,1,https://trade.fjbdex.com:443/ltywpt-minio/fujian/商品审核/0f82a1aa194841d5a3f6efca81b77105.png,企业资金健康度指数,0元,0,福建大数据一级开发有限公司,,,0.0,3,
