searchValue,createBy,createTime,updateBy,updateTime,remark,params,id,orderNo,goodsName,goodsCode,productName,productCode,productType,price,stockQuantity,dealQuantity,viewNum,imageUrl,supplierName,supplierCode,upAmallFlag,zoneIds,chargeMethod,faceFlag,productIntroduction,detailIntroduction,status,marketCode,marketName,createUserCode,createUserName,deleteFlag,auditUserCode,auditUserName,auditRemark,enableFlag,active,chargeSchemeList,numberList,timeList,positionFlag,oldStatus,oldEnableFlag,zoneNo,zoneName,schemeId,productInfo,focusFlag,goodsRecommendListFlag,goodsRecommendFlag,productTypeList,productIndustryList,productLabelList,zoneCodeList,operateCodeList,gysNoList,statusList,userCode,hotFlag,newFlag,replaceEntFlag,hotFlagSortDesc,upAmallFlagSortDesc,keyWord,apiPlatformMounted,recommendFlag,searchFlag,month,orderTableFlag,productAttachList,isZgtProduct,extSource,extProductId,iconUrl,operateLable,gysProductNum
,,2025-12-24 11:48:48,,2025-12-24 15:08:19,,{},3054,SP202512240005,广西ETC车辆信息查询,GP24120600207,广西ETC车辆信息查询,P241206002,2,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/125122411482805.png,广西捷通高速科技有限公司,B00000142,Y,,,Y,广西ETC车辆信息查询是一种用于查询车辆的基础信息的解决方案。该解决方案覆盖范围为广西ETC车辆。通过输入车牌号、车牌颜色等参数，可以获取车辆ETC基础信息。,,U,bbwmt,北部湾大数据交易市场,B00000142,广西捷通高速科技有限公司,N,,,拟通过,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,
,,2025-12-24 11:48:11,,2025-12-24 15:08:13,,{},3052,SP202512240004,广西ETC用户车辆近三个月的车辆通行次数,GP25102700206,广西ETC用户车辆近三个月的车辆通行次数,P251027002,2,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/125122411474312.png,广西捷通高速科技有限公司,B00000142,Y,,,Y,用于查询广西ETC用户车辆近三个月的车辆通行高速频次的数据产品,,U,bbwmt,北部湾大数据交易市场,B00000142,广西捷通高速科技有限公司,N,,,拟通过,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,
,,2025-12-24 11:43:43,,2025-12-24 15:08:02,,{},3050,SP202512240003,广西ETC用户车辆近三个月内是否使用ETC通行高速公路,GP25102700105,广西ETC用户车辆近三个月内是否使用ETC通行高速公路,P251027001,2,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/125122411432226.png,广西捷通高速科技有限公司,B00000142,Y,,,Y,用于查询广西ETC用户车辆近三个月内是否使用ETC通行高速公路数据产品。,,U,bbwmt,北部湾大数据交易市场,B00000142,广西捷通高速科技有限公司,N,,,拟通过,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,
,,2025-12-24 11:43:00,,2025-12-24 15:07:44,,{},3048,SP202512240002,广西ETC客车车辆通行指数分析,GP25120200203,广西ETC客车车辆通行指数分析,P251202002,2,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/125122411423930.png,广西捷通高速科技有限公司,B00000142,Y,,,Y,用于查询广西ETC客车车辆通行广西高速公路收费站热力指数的数据产品。,,U,bbwmt,北部湾大数据交易市场,B00000142,广西捷通高速科技有限公司,N,,,拟通过,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,
,,2025-12-24 11:40:32,,2025-12-24 15:07:17,,{},3046,SP202512240001,广西ETC货车车辆通行指数分析,GP25120200101,广西ETC货车车辆通行指数分析,P251202001,2,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/125122411414119.png,广西捷通高速科技有限公司,B00000142,Y,,[],Y,用于查询广西ETC货车车辆通行广西高速公路收费站热力指数的数据产品。,,U,bbwmt,北部湾大数据交易市场,B00000142,广西捷通高速科技有限公司,N,,,拟通过,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,
,,2024-11-27 10:58:37,,2025-12-16 16:53:49,,{},2773,SP202411270001,交投e信产业链营销订阅服务,GP24112000101,交投e信产业链营销订阅服务,P241120001,3,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202411/base/common/794d3c066fae5536d9d7eaa4bb393b024112711110893.png,广西交投物流集团有限公司,B00000332,Y,,[],Y,基于广西交投物流供应链金融平台，需求方可申请订阅相关供应链信息脱敏离线报告。,,U,bbwmt,北部湾大数据交易市场,B00000332,广西交投物流集团有限公司,N,,,,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,N,,,,,
,,2024-11-27 11:13:04,,2025-12-16 16:53:42,,{},2775,SP202411270002,交投e信产业链图谱数据集,GP24112000302,交投e信产业链图谱数据集,P241120003,3,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202411/base/common/794d3c066fae5536d9d7eaa4bb393b024112711123480.png,广西交投物流集团有限公司,B00000332,Y,,,Y,基于广西交投供应链金融平台“交投e信”的产业链图谱数据，需求方提供相关材料后，可通过产品查询供应链图谱的上下两层关联性清单。,,U,bbwmt,北部湾大数据交易市场,B00000332,广西交投物流集团有限公司,N,,,,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,N,,,,,
,,2025-12-10 17:32:27,,2025-12-10 17:35:55,,{},3044,SP202512100001,服务区危化品车辆管理,GP24121001804,服务区危化品车辆管理,P241210018,1,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/数据产品页面2225121017321064.png,广西交通设计集团有限公司,B00000026,Y,,,Y,"
融合运营企业侧视频、图片、红外测温和政务侧危化品车辆位置轨迹、危险货物运输电子运单等多源异构数据，围绕危险品车辆从进入服务区、车辆停放、车辆异常状态检测及告警、离场识别等全过程监控和管理，实现对危险品车辆的自动登记、违规管理和告警管理。",,U,bbwmt,北部湾大数据交易市场,B00000026,广西交通设计集团有限公司,N,,,,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,N,,,,,
,,2025-12-08 09:40:27,,2025-12-08 10:23:16,,{},3042,SP202512080001,环保车视频解析助手,GP25111800102,环保车视频解析助手,P251118001,1,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202512/base/common/4560e45335a4ecd998289e10ebf26f3725120810102172.png,广西环保产业投资集团有限公司,B00000632,Y,,[],Y,基于环保车视频与 GPS 定位数据，结合 YOLO11 视觉算法，是一款服务环卫作业的可视化数据产品。产品形态为 Web 端动态可视化看板，可通过 API 输出含垃圾类别、时间、坐标的结构化数据，对接广西固废全过程综合管理云平台，部署于私有化服务器。用途是替代人工巡查精准定位垃圾高发区，量化垃圾分布变化以支撑资源预调配，降低环卫作业成本，为日常运营优化与长期规划提供依据。,,U,bbwmt,北部湾大数据交易市场,B00000632,广西环保产业投资集团有限公司,N,,,拟通过,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,
,,2023-10-31 10:49:40,,2025-11-25 10:20:40,,{},605,SP202310310235,厂外物流-在途监控-历史业务质量分析服务,GP230925096239,厂外物流-在途监控-历史业务质量分析服务,P230925096,1,0.0,0.0,0.0,,https://www.bbgdex.com:9003/bbw-trad-portal-app/202310/base/common/物流23103111565602.jpg,上海可当网络科技有限公司,B00000304,Y,,[],Y,"基于实时计算引擎分析运输起点终点信息，提供企业业务核验管理。可追溯 6 个月前近三年内的行程，单次最长可追溯 8 天（192 小时）行程。
输入车牌号，车牌颜色，车辆出发时间和到达时间，始发地，目的地，始发地坐标，目的地坐标提交分析任务请求。(接口最大支持 10 辆车)。提交信息后 T+ 3 工作日可收到我方主动推送的车辆提交任务的行程报告。",,U,bbwmt,北部湾大数据交易市场,B00000304,上海可当网络科技有限公司,N,15,bbgdex,,N,0,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,N,,,,,
