authStatus,authStatusName,chargeType,chargeTypeName,dataCoverRange,goodsId,goodsName,goodsRegisterStatus,goodsRegisterStatusName,goodsType,goodsTypeName,introduce,isBroker,isGoodsRegister,keyWord,logo,minPrice,moneyUnit,price,priceDisplay,priceUnit,publishTime,pv,qualityAuthStatus,status,statusName,supplyCompanyName,userUnitAuthType,userUnitAuthTypeName
0,未上传,1,面议,全国,10563,企业发票数据综合分析报告,,,[7],高质量数据集,本报告基于企业真实发票数据编制，报告涉及数据字段规模为489个，数据覆盖时间一般为企业近三年数据，报告的内容覆盖范围主要是完整呈现了企业近三年的经营与财务动态。报告涵盖销项与进项发票的全面信息，包括开票金额、作废及红冲记录、交易频次、商品类别、上下游客户等维度。同时包括销售与采购的月度趋势、产品结构、客户集中度、交易稳定性、盈利能力、发展能力及风险特征等核心领域。报告通过量化指标与可视化图表，系统评估了企业的经营周期性、运营能力、盈利水平及潜在风险，识别出红冲异常、客户与供应商集中度变化等关键风险点，并对融资窗口期进行预测。本报告为企业经营决策、风险管控及融资评估提供了全面、客观的数据支持。,False,False,企业发票数据,,,,,,,2026-01-23 15:12:17,,0,4,已上架,数族科技（南京）股份有限公司,"101,102","数据提供商,数据开发商"
0,未上传,1,面议,全国,10562,企业票税数据,,,[5],API接口,企业票税数据产品是一套面向企业、财税服务机构、金融机构的标准化票税数据API接口服务，依托大数据、人工智能及HTTPS加密传输等核心技术，以接口形式实现票税数据的合法采集、校验、解析、推送及统计分析全流程赋能。该产品旨在将原始、分散的票税信息转化为可量化、可分析、可服务的商业价值数据，广泛应用于金融风控、供应链管理、企业征信及数字化转型等领域，为企业经营决策与风险防控提供坚实的数据支撑。,False,False,"企业发票数据,企业财税数据",https://be.westdex.com.cn/prpr/file/c5f07ba3eecb4dc79802074a84e25e99._.%E6%95%B0%E6%97%8F.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260124T153906Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=CzMinIO%2F20260124%2Fcn-north-1%2Fs3%2Faws4_request&X-Amz-Signature=5c54d953fb3f54c9ed9c15e0fb5810921616494df67e804925b202c4e48e89dd,,,,,,2026-01-20 11:21:13,,0,4,已上架,数族科技（南京）股份有限公司,"101,102","数据提供商,数据开发商"
0,未上传,1,面议,云南省昭通市,10561,昭通高速智慧运营大数据报告,,,[8],数据报告,"本产品是面向高速公路运营管理的综合类数据报告，涵盖高速通行流量、路段基础设施资产、设备维护管理及服务区运营等核心数据，通过多维度分析为决策提供科学依据。
报告采用“数据治理-模型构建-数据分析-场景建议”的架构，通过数据清洗、脱敏处理与标准化入库，生成可视化图表与决策建议，可以为政府部门、研究机构、商业运营公司及相关产业上下游企业等提供相关决策支撑。",False,False,"高速运营,道路养护",,,,,,,2026-01-16 09:49:08,,0,4,已上架,昭通市高速公路投资发展有限责任公司,101,数据提供商
0,未上传,1,面议,重庆市永川区全区24个镇街的城镇区域,10533,永川区地名及公共设施数据集,,,[7],高质量数据集,本数据集覆盖重庆市永川区全区24个镇街的城镇区域。数据内容包括主要地名、路网、机关单位、小区、学校、公共服务设施等数据要素内容，可以面向自然资源、交通、民政等领域使用。,False,False,数据集,,,,,,,2026-01-05 09:30:41,,0,4,已上架,重庆创捷勘测设计有限公司,"101,102","数据提供商,数据开发商"
0,未上传,2,按次数,全国,10541,车辆画像,,,[5],API接口,全维度车况深度洞察：输出 16 项核心评分（含车辆里程、黎明 / 深夜出行、月均车速、疲劳驾驶、高速行驶等），覆盖 “行驶行为 - 里程状态 - 区域分布” 全场景，替代传统单一车况检测（如仅看里程），帮助企业降低车况误判率 40%+，避免因信息不全导致的决策偏差​。,False,False,汽车保险,,2.0,元,2.00,,次,2025-12-26 14:53:44,,0,4,已上架,慧达易行科技（武汉）有限公司,"101,102","数据提供商,数据开发商"
0,未上传,1,面议,贵州,10547,贵州电网代理购电电价总览,,,[5],API接口,贵州电网2021.10-2022年每月代理购电电价明细，用于分析电价趋势情况。,False,False,贵州电网代理购电电价总览,http://be.westdex.com.cn/pbpr/image/452dabf01750481a855c3c3d56a991ad.png,0,,,,,2025-12-26 11:11:49,,0,4,已上架,贵州多彩宝互联网服务有限公司,101,数据提供商
0,未上传,2,按次数,全国,10542,车辆出险记录查验,,,[5],API接口,车辆风险穿透式核查：覆盖 “基础车况 + 保险风险 + 历史出险” 全维度（如是否水淹 / 盗抢、拒赔记录、营业属性、车主任数），尤其是精准输出 “损失部位明细（如大梁校正、前风挡更换）”“单次 / 最大损失金额”“出险时间节点”，替代传统人工查档（如仅查出险次数），帮助企业降低车辆风险误判率 35%+，避免 “隐性事故车”“高风险抵押车” 带来的资产损失​,False,False,汽车保险,,12.0,元,12.00,,次,2025-12-26 11:10:57,,0,4,已上架,慧达易行科技（武汉）有限公司,"101,102","数据提供商,数据开发商"
0,未上传,1,面议,全国,10534,环境空气质量预测模型训练数据集,,,[7],高质量数据集,该数据集由环境空气质量数据和ERA5大气在分析数据组成。经过严格的清洗和治理，能够适配不同预测时长的模型训练需求。将其直接应用到空气质量预测模型的训练中，既能让模型学习污染物浓度的本地演变特征，又能捕捉宏观气象条件对污染物迁移转化的驱动作用，为模型提供高质量、多维度的训练样本，显著提升模型对重污染过程、跨区域传输事件的预测准确性，最终支撑短期、中期乃至长期的环境空气质量精准预报。,False,False,"训练数据,大模型,预测,空气质量",https://be.westdex.com.cn/prpr/file/e6c1fcdbdf9249dbbc0797b11ea1d011._.%E5%9B%BE%E6%A0%87.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260124T153906Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=CzMinIO%2F20260124%2Fcn-north-1%2Fs3%2Faws4_request&X-Amz-Signature=f6f90d11e2d772057f22b074319f1d9e0755e0bd09d18544301dc6b79f98676e,0,,,,,2025-12-23 14:43:48,,0,4,已上架,天津天融环境科技发展有限公司,"101,102","数据提供商,数据开发商"
0,未上传,1,面议,全国,10535,大气污染物排放清单,,,[7],高质量数据集,大气污染物排放清单是2016年-2023年全国31省份各种排放源排放的污染物的集合。可应用于PM2.5来源解析、空气质量预报预警、重污染天气应急方案制订及效果评估、污染物总量减排核查核算、空气质量达标规划等工作作核心基础数据支撑。,False,False,"大气污染物,排放清单,污染源",https://be.westdex.com.cn/prpr/file/48abe24681764c259ce4d3b0b0472855._.%E5%A4%A9%E8%9E%8D%E7%8E%AF%E5%A2%83%E5%9B%BE%E6%A0%87.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260124T153906Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=CzMinIO%2F20260124%2Fcn-north-1%2Fs3%2Faws4_request&X-Amz-Signature=9504da1fd106bb2db2839fd3d02b2442dd27bc0149beadf3a0e3d2f6291c7367,0,,,,,2025-12-23 14:43:19,,0,4,已上架,天津天融环境科技发展有限公司,"101,102","数据提供商,数据开发商"
0,未上传,1,面议,全国,10538,企业专利数据接口,,,[5],API接口,"本数据接口为企业专利类的数据接口，一组共有3个接口，包含:专利详情、专利列表、专利统计。
专利详情:可获取某个专利的详情信息;
专利列表:可获取某企业所拥有专利数量按列表展示;
专利统计:可按照专利类型统计某企业的专利数量。
",False,False,企业专利,,,,,,,2025-12-23 10:16:40,,0,4,已上架,淘数科技(北京)有限公司,"101,102","数据提供商,数据开发商"
