productId,productName,supplyName,logo,price,dataProductType,dataProductTypeName,useScene,useSceneStr,dataProductDesc,billableType,billableTypeName,listPlatform,listPlatformName,listPlatformUrl,unitsName,units,validityTerm,validityTermName,clientId,dataProductRegionName,useIndustry,useIndustryName,memberId,categoryStatus,subscribeStatus,subscribeStatusName
99a80ae4e09a4a34b91df0278aa98895,企业网络安全防控数据集,天津荣程祥泰投资控股集团有限公司,,,dataSet,数据集,,,企业在日常运营过程中遭受各类网络攻击的记录。具体包含攻击发起的时间、攻击源 IP 地址、攻击类型（如 DDoS 攻击、恶意软件攻击、SQL 注入攻击等）、受攻击的系统及设备信息、攻击造成的影响程度等信息。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,"A02,A26","制造业,通信",1aeaeca143174c558618987f09d3688b,on,00,立即订阅
188e6658b3a2470fbe684c49646cdf39,宁河区智慧停车（封闭车场）数据集,天津宁投智慧城市运营服务有限公司,/avator/8998f962c6af460089d16b1d4e56b693,,dataSet,数据集,,,通过分析车辆类型识别数据、时空维度数据等相关数据的时间规律和关联性，为客户提供区域交通态势分析、国有停车场运营分析、国有停车数据服务中台功能服务。产品设计充分考虑了宁河智慧停车的实际需求，通过数据挖掘技术识别的运营数据的关键信息和潜在风险点，为用户提供智能化的停车信息、停车场及充电设施布局规划、商圈价值评估及其他增值服务。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A04,交通,b3e32737908746a98571f2ea43632f4a,on,00,立即订阅
6df3311294324cfb926db9f7eaacd259,全国逐年30米建设用地遥感监测空间分布数据,吉林省中遥科技有限公司,/avator/11060cb09f1c4ac0a6cfe289849f00a6,,dataSet,数据集,,,全国30米土地利用类型遥感监测空间分布数据，是基于美国陆地卫星Landsat 系列（MSS、TM、7、8、9）影像数据，通过人机交互解译生成。根据LUCC分类体系将建设用地地分为城镇用地、农村居民用地和工交建设用地三种。全国数据有1972-2021年共39期。因早期Landsat数据时空覆盖缺失，1972-1977年合成第一期数据，1986年起每年度生成一期数据。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
4a752e32408e47feb6f38b890bdce0b6,1:25万土地利用空间分布数据GB T 21010-2007,吉林省中遥科技有限公司,/avator/5d406e3ec5c1483ea69687972b7013bd,,dataSet,数据集,,,土地利用变化不仅对国家发展，还对全球环境变化产生了重要的影响。为了更好地描述我国土地利用变化的现代过程，更好地预测、预报土地利用变化趋势，地球资源数据云平台在已有数据的基础上，以高分辨率遥感影像作为主要信息源，通过人工目视解译，建成了国家尺度1：25万比例尺的土地利用专题数据库。目前仅有2015年数据，其他年份的正在持续更新。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
cba9889bb26048769b82849f0d7a36df,中国农业设施用地空间分布数据,吉林省中遥科技有限公司,/avator/e240aff920464907bc69be0b32e68967,,dataSet,数据集,,,农业设施用地是指在农业生产中用于直接服务作物种植、畜禽水产及农产品初加工的非直接耕作土地，其核心特征是服务于农业生产，但不直接用于种植作物或养殖。农业设施用地是现代农业生产体系不可或缺的组成部分。它不仅是产业空间，更是技术载体、保障基础和变革要素。科学规划、严格管理、高效利用农业设施用地，对于推动农业高质量发展、全面实现乡村振兴具有深远而现实的重要意义,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
6fad7e992cc34e4e932bc223fe429345,2020年全国10米土地利用数据（CRLC）,吉林省中遥科技有限公司,,,dataSet,数据集,,,2020年全国10m分辨率土地覆盖数据！数据来自于武汉大学钟燕飞教授团队。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
6bcd0b8ab41941a190a3697757999997,全球范围10米精度土地覆盖数据2017-2022,吉林省中遥科技有限公司,/avator/fdc70d6fd3e14d569efb5f10d3cde951,,dataSet,数据集,,,Esri对外公布了全球10米土地覆盖数据，该数据利用欧洲航天局(ESA)的Sentinel-2卫星影像绘制而成。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
d1cfea39b6b74b598f037d8e15caecfc,全球1982～2015年土地覆盖数据产品GLASS-GLC,吉林省中遥科技有限公司,/avator/bef607acfed846c7b3ce08e0bb3a334e,,dataSet,数据集,,,GLASS-GLC产品以1982～2015年的全球陆表特征参量数据集（GLASS CDR）为数据源，借助谷歌地球引擎（Google Earth Engine）平台进行开发，涵盖耕地、森林、草原、灌木、苔原、裸地和冰雪七大土地覆盖类别。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
f07569156382446a8c1356dda9d86835,中国仓储工业用地空间分布数据,吉林省中遥科技有限公司,/avator/d754bc9e090449ee91b7204f712e66f8,,dataSet,数据集,,,仓储工业用地是城市规划中的重要土地类型，是城市规划中专门划定的、用于建设仓库、物流中心、配送中心及相关配套设施的工业性质土地。仓储工业用地是现代经济中不可或缺的基础要素，其合理规划与高效利用直接关系到物流成本、城市运行效率和产业竞争力。随着技术改革，这类用地正从传统‘仓库’向智慧化、多功能、高附加值的供应链核心节点演进。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
0334813447344444bb0fca562ed870dd,中国露天矿业用地,吉林省中遥科技有限公司,/avator/9074af1c9b5a4310ab3b162d182d93ca,,dataSet,数据集,,,采矿用地是2014年公布的建筑学名词，是独立于居民点之外的采矿、采石、采砂（沙）场，砖瓦窑等地面生产用地及尾矿堆放地。,10,面议,01,数据产品交易区,https://exchange.datadmz.com:30101,,,,,datadmz,北方大数据交易中心,A21,地理空间,8537360569b140f5bdcd771dba179df8,on,00,立即订阅
