proResourceId,proResourceName,proResourceDesc,proResourceType,companyName,companyLogo,itemPrice,views,score,payNum,launchDate,tags_domains,tags_industry,tags_sceneClassification,tags_all,productTag_count,tags_featuredZone
73a8c747ff4a4d7689f500954560aaff,智能数据分类分级系统,"一款基于大语言模型的智能精准数据分类分级系统，系统利用大模型强大的语义分析能力，通过本地知识库、提示词、行业规则和行业业务数据训练政府、金融、电力、医疗、电信等行业领域数据分类分级专属工作模型，以满足业务数据智能、精准分类分级，为重点行业数据安全工作开展提供核心技术支撑。
系统基于ChatGLM等主流通用大模型作为基础大模型，通过模型训练、模型评估实现智能精准数据分类分级专属大模型部署。系统支持内容数据、元数据、问答数据、行业标准数据、分类分级结果数据等多种数据集格式对不同形态数据进行智能精准数据分类分级，帮助企业快速梳理各种复杂数据；提供本地知识库、行业标准、零样本小样本提示词等方式提升敏感数据识别准确率。
",data_report,山西省数字证书认证中心（有限公司）,https://www.sxdataex.com/mduploads/6f7f6860cbfd43b5b3f3d1479da9d77c/20241125105821/山西CA矢量LOGO（标）-1732503501263.png,-1.00,3,0,0,2026-01-23 16:28:08,科技创新|公共安全|安全生产,信息传输、软件和信息技术服务业,交通运输|现代农业|金融服务|城市治理|工业制造|文化旅游|应急管理|医疗健康|商贸流通|绿色低碳|气象服务|科技创新,科技创新|公共安全|安全生产|信息传输、软件和信息技术服务业|交通运输|现代农业|金融服务|城市治理|工业制造|文化旅游|应急管理|医疗健康|商贸流通|绿色低碳|气象服务,16,
bf486ac362654bf0add4862a2666de8b,数据库加密与访问控制系统,吉大正元数据库加密与访问控制系统是一款基于透明加密技术的安全加密系统，该产品能够实现对数据库数据的加密存储、访问控制增强、应用访问安全以及三权分立等功能。吉大正元数据库加密与访问控制系统基于主动防御机制，有效防止明文存储引起的数据泄密、突破边界防护的外部黑客攻击、来自于内部高权限用户的数据窃取、防止绕开合法应用系统直接访问数据库，从根本上解决数据库敏感数据泄漏问题，真正实现了数据高度安全、应用完全透明、密文高效访问等技术特点。,data_report,山西省数字证书认证中心（有限公司）,https://www.sxdataex.com/mduploads/6f7f6860cbfd43b5b3f3d1479da9d77c/20241125105821/山西CA矢量LOGO（标）-1732503501263.png,-1.00,2,0,0,2026-01-23 16:28:04,科技创新|公共安全,信息传输、软件和信息技术服务业,交通运输|现代农业|金融服务|城市治理|工业制造|文化旅游|应急管理|医疗健康|商贸流通|科技创新|绿色低碳|气象服务,科技创新|公共安全|信息传输、软件和信息技术服务业|交通运输|现代农业|金融服务|城市治理|工业制造|文化旅游|应急管理|医疗健康|商贸流通|绿色低碳|气象服务,15,
80fc7e7f31554a34a721463a6875b409,企业票税数据,企业票税数据产品是一套面向企业、财税服务机构、金融机构的标准化票税数据API接口服务，依托大数据、人工智能及HTTPS加密传输等核心技术，以接口形式实现票税数据的合法采集、校验、解析、推送及统计分析全流程赋能。该产品旨在将原始、分散的票税信息转化为可量化、可分析、可服务的商业价值数据，广泛应用于金融风控、供应链管理、企业征信及数字化转型等领域，为企业经营决策与风险防控提供坚实的数据支撑。,data_service,数族科技（南京）股份有限公司,http://www.sxdataex.com/mduploads/b0068ad0c9884593b056af8df2c1dd3e/20260123094754/资源 5-1769132874921.jpg,-1.00,1,0,0,2026-01-23 09:45:21,财税金融,信息传输、软件和信息技术服务业|制造业|建筑业|电力、热力、燃气及水生产和供应业|采矿业|农、林、牧、渔业|交通运输、仓储和邮政业|批发和零售业|住宿和餐饮业|金融业|房地产业|租赁和商务服务业|科学研究和技术服务业|水利、环境和公共设施管理业|居民服务、修理和其他服务业|教育|卫生和社会工作|文化、体育和娱乐业|公共管理、社会保障和社会组织,金融服务|城市治理|工业制造|商贸流通|科技创新,财税金融|金融专区|信息传输、软件和信息技术服务业|制造业|建筑业|电力、热力、燃气及水生产和供应业|采矿业|农、林、牧、渔业|交通运输、仓储和邮政业|批发和零售业|住宿和餐饮业|金融业|房地产业|租赁和商务服务业|科学研究和技术服务业|水利、环境和公共设施管理业|居民服务、修理和其他服务业|教育|卫生和社会工作|文化、体育和娱乐业|公共管理、社会保障和社会组织|金融服务|城市治理|工业制造|商贸流通|科技创新,26,金融专区
1807ddd6841f414d96b5446fead6540e,数字乡村建设,数字乡村建设是助力数字中国建设的必然选择。由于城乡“数字鸿沟”的存在，农村地区的数字化建设是数字中国建设的基础与前提，也是数字中国建设的痛点和难点。数字乡村的建设将有效提升农村数字基础设施水平、缩小城乡“数字鸿沟”，全面推动农业农村现代化建设。数字乡村建设是助力数字中国建设的必然选择，也是数字中国建设的“最后一公里”。,data_report,山西安洽科技股份有限公司,http://www.sxdataex.com/mduploads/灵泽/模板/默认公司图.png,-1.00,16,0,0,2026-01-12 08:29:23,科技创新|机构团体|资源能源|生活服务,信息传输、软件和信息技术服务业,现代农业|城市治理|文化旅游|应急管理|绿色低碳|气象服务|科技创新,科技创新|机构团体|资源能源|生活服务|人工智能专区|信息传输、软件和信息技术服务业|现代农业|城市治理|文化旅游|应急管理|绿色低碳|气象服务,13,人工智能专区
e01c1cbbb7b74083849ca3ac02ee6950,人口洞察选址大数据,"极目商业AI大数据平台是通过聚合联通运营商信令数据、实体POI点位分布数据、线上线下消费等多源数据，运用皮尔逊相关性分析有效识别驱动门店选址的高相关特征，结合L2R排序及embedding分类等AI模型输出全城地块分值，智能输出最佳新建点位位置。
支持门店上传自有经营指标关键数据，运用四象限分析实现对现有门店能效情况进行综合评分，为门店运营优化提供科学的数据支撑。
极目商业AI大数据平台不仅可以应用在新建门店选址的应用场景里，同时可对现有门店的整体经营效能进行评估，丰富人群和地块特征洞察，凭借其对目标特征人群的全城位置分析，亦可辅助实现基于位置的营销策略的制定。",dataset,中国联合网络通信有限公司山西省分公司,http://www.sxdataex.com/mduploads/4359f559b01e4e218e366123cac0a5b8/20260109153443/图标-1767944083197.png,-1.00,6,0,0,2026-01-09 14:49:12,生活服务,批发和零售业|住宿和餐饮业|文化、体育和娱乐业,金融服务|商贸流通,生活服务|批发和零售业|住宿和餐饮业|文化、体育和娱乐业|金融服务|商贸流通,6,
9d3710fe885e4e2792a57e4c8de80e28,产业链及精准招商大数据,通过构建产业链全景图、产业链现状图和产业链补链图，明确重点产业环节、细分领域、招商地区、目标客商等。形成企业库、目标库、项目库、载体库、知识库和资讯库，挖掘优质的、有投资能力和意向的企业。呈现招商对象全景、在线筛选企业、监测企业动态等。实现企业画像、企业图谱、企业评价报告、优企挖掘、都市圈招商、榜单企业招商等多场景应用。,dataset,中国联合网络通信有限公司山西省分公司,http://www.sxdataex.com/mduploads/4359f559b01e4e218e366123cac0a5b8/20260109153443/图标-1767944083197.png,-1.00,1,0,0,2026-01-09 14:49:10,财税金融|资源能源|安全生产,制造业|金融业|科学研究和技术服务业,金融服务,财税金融|资源能源|安全生产|制造业|金融业|科学研究和技术服务业|金融服务,7,
526c83728c9044d39e24a0867c44ba5c,国土空间规划人口大数据平台,通过融合“人口+消费+产业”全域数据，提供面向城市规划运营、都市圈发展、人口流动、就业趋势、国民经济、现代化统计分析等产品服务，包括城市人口数量、人口活跃度、人口结构、人口流动、职住通勤等特征，提供职住空间分布、居民出行特征、城市联系度分析、城市活力空间及城市功能空间识别等服务，通过将指标可视化，提高量化、监测、评估、预测预警的准确性、及时性、有效性，为国家部委、地方政府等进行城市规划与运营、都市圈/城市群发展、重大战略制定、重大项目评估、国民经济发展趋势分析等提供辅助决策支撑。,dataset,中国联合网络通信有限公司山西省分公司,http://www.sxdataex.com/mduploads/4359f559b01e4e218e366123cac0a5b8/20260109153443/图标-1767944083197.png,-1.00,2,0,0,2026-01-09 14:49:07,生活服务|安全生产|资源能源,农、林、牧、渔业|电力、热力、燃气及水生产和供应业|交通运输、仓储和邮政业|住宿和餐饮业|房地产业,城市治理,生活服务|安全生产|资源能源|农、林、牧、渔业|电力、热力、燃气及水生产和供应业|交通运输、仓储和邮政业|住宿和餐饮业|房地产业|城市治理,9,
2349e3799a8b49f8826fe22d3ad9c2a5,城市区域人口实时热力平台,通过对用户手机信令进行实时处理、计算和分析，得出指定区域的实时人口数量、特征和迁徙情况。包括区域人口密度、人口数量、人口结构、人口来源、人口画像、人口迁徙、职住分析、人口短期预测等信息。       为政府和企业单位提供人口统计、应急监控及实时客流分析提供有价值的决策依据，助力政府人口动态管理，协助应急预警，赋能智慧商圈、智慧景区建设等。,dataset,中国联合网络通信有限公司山西省分公司,http://www.sxdataex.com/mduploads/4359f559b01e4e218e366123cac0a5b8/20260109153443/图标-1767944083197.png,-1.00,1,0,0,2026-01-09 14:49:05,资源能源|生活服务,电力、热力、燃气及水生产和供应业,城市治理,资源能源|生活服务|电力、热力、燃气及水生产和供应业|城市治理,4,
8d7b7b98d14747dfab7c547634c3c9f9,文体旅客气洞察,利用手机信令大数据，针对文旅城市、景区、重点赛事等场景进行客流、消费监测，掌握区域参与客流、消费情况。,dataset,中国联合网络通信有限公司山西省分公司,http://www.sxdataex.com/mduploads/4359f559b01e4e218e366123cac0a5b8/20260109153443/图标-1767944083197.png,-1.00,3,0,0,2026-01-09 14:49:03,生活服务,文化、体育和娱乐业|住宿和餐饮业,文化旅游,生活服务|文化、体育和娱乐业|住宿和餐饮业|文化旅游,4,
2a563ace26bd4eabab35f066a4ea57c1,商圈客群洞察,服务于商务部门和商圈管理运行机构（商圈、步行街管委会），提供面向城市消费、商圈运行等方面的大数据服务。该平台平台集多源大数据整合、重要指标指数监测、多维度对比分析等功能于一体，从大数据视角为政府编制商贸行业相关规划、制定商圈/步行街改造升级方案、推行消费促进政策提供辅助决策。,dataset,中国联合网络通信有限公司山西省分公司,http://www.sxdataex.com/mduploads/4359f559b01e4e218e366123cac0a5b8/20260109153443/图标-1767944083197.png,-1.00,2,0,0,2026-01-09 14:49:00,生活服务|资源能源|机构团体,批发和零售业|住宿和餐饮业|房地产业|租赁和商务服务业|文化、体育和娱乐业,商贸流通,生活服务|资源能源|机构团体|批发和零售业|住宿和餐饮业|房地产业|租赁和商务服务业|文化、体育和娱乐业|商贸流通,9,
