activityApplyId,activityId,activityName,algorithmValidity,applyCount,authorizeHybState,cascadeList,companyId,companyName,count,createDate,dataSources,evalAttrValue,expireTime,expiryTime,fees,isBook,isCheckInEnsure,isOaAudit,isPopular,isResource,isShowAppHyb,issynclml,itemPrice,items,launchDate,modelInstruction,paymentType,planTitle,popularDate,privateType,proCategoryId,proCommonTagId,proCommonTagIdByZoneId,proCommonTagIdFirst,proCommonTagIdFirstSvc,proCommonTagIdThirdSvc,proContentValidity,proExpUrl,proIndustryType,proIntroduction,proIsPresale,proPeriodDate,proResVideo,proResourceActivityType,proResourceDesc,proResourceFeeDesc,proResourceId,proResourceInfoId,proResourceLogo,proResourceName,proResourceScene,proResourceService,proResourceTag,proResourceType,proRichText,proZoneId,punishFile,relevanceResource,relevanceResourceAsString,resourceApiDTO,resourcefilesDTO,saleId,sceneSecondTag,sceneThirdTag,serviceType,shelveId,softwareVer,sportGenre,statusCd,synclmlTime,tagId,tagId1,topping,toppingTime,unit,unitCode,userId,views
,,,,1,,,,中国电信股份有限公司海南分公司-数据产品超市,,,,1,,,,,,,,,,,-1.00,,2023-12-20 16:41:41,,,,,,,,,,,,,,,,,,,0,"可以用来查询海南省医疗机构执业许可证；包括：证照状态,颁发机构,有效时间,国家证照类型代码,证照编号,证照名称,持证主体,JPG文件名称。",,2bc5242408284b5c8017da10884d5074,,,海南省医疗机构执业许可证,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-08-13 15:51:18,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,-1.00,,2024-02-17 00:00:00,,,,,,,,,,,,,,,,,,,0,"身份证号,医疗自费金额",,e9b74b9523774e4983d2e5ae9700f867,,,个人医疗费用缴纳信息查询服务,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-08-13 15:50:48,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,-1.00,,2024-02-18 00:00:00,,,,,,,,,,,,,,,,,,,0,"身份证号,大病报销金额",,1c7e8e1f9fba4dfe8a48d5da3fe00905,,,个人医疗费用报销信息查询服务,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-08-13 15:50:32,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,-1.00,,2024-04-06 00:00:00,,,,,,,,,,,,,,,,,,,0,"持证主体,持证主体代码,持证主体代码类型,证照名称,证照类型名称,证照类型代码,证照颁发机构,证照颁发机构代码,证照所属管辖属地编码,证照编号,证照颁发日期,主键（系统主键）,电子证照源标识（业务主键）,是否为真（1是；0否）,是否老证照（1是；0否）",,28ce5f554ebe4e9cae349ca712dfaf58,,,医疗机构制剂许可证证照信息查询服务,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-08-13 15:49:55,,,,
,,,,1,,,,海南省数据产品超市,,,,1,,,,,,,,,,,5000.00,,2025-03-21 17:14:45,,,,,,,,,,,,,,,,,,,0,民生类原始数据服务。提供脱敏后的社保管理部门个人社保缴纳、在职状态等类原始数据服务，供用户直接用于数据分析、业务系统对接等场景的数据支撑服务。,,75f6bfbd6dda4711b9b53045c0121a65,,https://s3.datadex.cn/uploads/9ac0acceee5946fb87807981a2618697/20250925094005/%E7%94%9F%E6%88%90%E5%8C%BB%E4%BF%9D%E5%8F%8D%E6%AC%BA%E8%AF%88%E5%AE%A3%E4%BC%A0%E5%9B%BE%20%282%29.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T134130Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=24aa12dade0e3d967a2cfc1d4f63daf8d73306da96b4db019bbaa98e3fa67416,惠民服务接口,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-03-21 17:23:49,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,30000000.00,,2025-03-21 17:14:38,,,,,,,,,,,,,,,,,,,0,该产品围绕外贸企业行业类型、销售总额、企业性质等多类型的潜客挖掘，实现精准推荐。帮助简化商贸企业的背调流程，提升客户背调的效率。帮助简化商贸企业的背调流程，提升客户背调的效率。金融机构在授信环节解决了信息不集中、不对称通过定性指标帮助银行全方面评估风险因素完成企业授信。,,55c078c77be540d2b0ee874423cc8c3f,,https://s3.datadex.cn/uploads/9ac0acceee5946fb87807981a2618697/20250925084722/%E7%94%9F%E6%88%90%E5%8C%BB%E4%BF%9D%E5%8F%8D%E6%AC%BA%E8%AF%88%E5%AE%A3%E4%BC%A0%E5%9B%BE%20%288%29.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T134130Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=02e1d5b4261623dad1dccb9d73542e3c9f4d2457f3d365796170308031b00e98,商贸通企业背调,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-03-21 17:23:05,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,10000000.00,,2025-03-21 17:14:40,,,,,,,,,,,,,,,,,,,0,围绕外贸企业行业类型、销售总额、企业性质等多类型的潜客挖掘，实现精准推荐。实现机构从“客户为中心”主动营销。大范围提升了业务体量。,,c464b9555e624c66b507321f5e5d25ea,,https://s3.datadex.cn/uploads/9ac0acceee5946fb87807981a2618697/20250327165517/%E6%95%B0%E8%B6%85%E4%BA%A7%E5%93%81%E4%B8%8A%E6%9E%B6%E5%B0%81%E9%9D%A2%E5%9B%BE.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T134130Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=aba2aa4664518217d80f93ac75a5c5f97db9e560929b08288a923b9f566dddf3,商贸通客户营销,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-03-21 17:15:58,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,5000.00,,2025-03-21 17:14:43,,,,,,,,,,,,,,,,,,,0,提供脱敏后的税务管理部门个人税前税后收入、纳税金额等类原始数据服务，供用户直接用于数据分析、业务系统对接等场景的数据支撑服务。,,a7c6cd8a37684c7084308d0592749269,,https://s3.datadex.cn/uploads/9ac0acceee5946fb87807981a2618697/20250925100648/%E7%94%9F%E6%88%90%E5%8C%BB%E4%BF%9D%E5%8F%8D%E6%AC%BA%E8%AF%88%E5%AE%A3%E4%BC%A0%E5%9B%BE%20%282%29.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T134130Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=249d72b7cafc51233fd8d6ba8ff6a4d28d5c861fa1880c6bcd4bf3b0cb8fbf54,助民生态服务接口,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-03-21 17:15:50,,,,
,,,,0,,,,海南省数据产品超市,,,,0,,,,,,,,,,,60000000.00,,2025-03-21 17:14:49,,,,,,,,,,,,,,,,,,,0,该产品提供企业用电情况类原始数据服务，供用户直接用于数据分析、业务系统对接等场景的数据支撑服务。,,ec39354c00e24f67931846e5c9796f6e,,,用电核验接口,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2025-03-21 17:15:19,,,,
,,,,7,,,,天翼征信有限公司,,,,7,,,,,,,,,,,40.00,,2022-03-22 19:38:11,,,,,,,,,,,,,,,,,,,0,"金融风控：用于金融机构在信贷审批环节的企业资质审核。
企业风险管理：用于企业在选择合作伙伴时的企业资质审核。",,a35f1aa72b37415da31cb99194569b31,,https://s3.datadex.cn/uploads/b46251e2260d4f30b5142e5c76370eea/20221126145614/22.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T110001Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=4aa4b041f6bf86421594b7960bd88a83c540f1dd6b0431ce987ec9124a85ca5c,企业动产抵押信息查询,,,,data_service,,,,,,,,,,,,,,,1002,,,,1,2022-11-26 14:56:28,,,,
,,,,3,,,,上海观安信息技术股份有限公司,,,,3,,,,,,,,,,,-1.00,,2022-11-08 14:26:35,,,,,,,,,,,,,,,,,,,0,"观安全链路数据流转监测与分析系统（以下简称“EFM”），基于旁路全链路流量模式下，自动识别出应用、数据库等业务资产产生的敏感流量，并对资产主体产生的敏感流量进行业务审计、风险监测、溯源分析等，从而建立一站式数据安全监测体系，帮助用户完成“事前事中事后”三个阶段的日常数据安全运营工作，达到数据安全治理目的。
EFM系统作为单系统而言，可以作为全链路全流量的审计类型系统，对网络传输流量的抓取、解析、识别，将流量中敏感数据进行提取，同时根据敏感数据识别规则或敏感场景识别策略，对传输过程中包含的敏感内容或敏感文件进行区分和梳理。对流量中存在的风险行为，进行预防性检测和定位。进而在发生泄漏等安全事故时，进行数据线索溯源。",,e0bd55ef5fb74963b8d2ae7830afb700,,https://s3.datadex.cn/uploads/37e190be5b884074b6470830f05ab190/20221104111338/%E6%95%B0%E6%8D%AE%E6%B5%81%E8%BD%AC.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T110001Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=46e3d789ec680b059272ff9f227e278a3e7521be666c5e8d8ad13067c84e4394,观安观智全链路数据流转监测与分析系统,,,,general_app,,,,,,,,,,,,,,,1002,,,,1,2022-11-25 16:10:43,,,,
,,,,2,,,,阿波罗智联（北京）科技有限公司,,,,2,,,,,,,,,,,-1.00,,2022-09-20 12:31:32,,,,,,,,,,,,,,,,,,,0,交通出行态势分析是一类专网WebAPI接口服务，开发者可利用该服务查询城市交通管理部门某辖区指定下辖层级的所有子辖区的实时拥堵情况和历史统计、指定道路或道路组实时拥堵情况和历史统计、城市路网异常拥堵报警信息。交通管理部门及其专网应用开发和集成商，可在专网（公安网、视频专网等）平台集成互联网交通路况大数据，第一时间获取实时、精准的路网动态，提升交通管理“勤、指、勤、督”一体化水平。,,793dd89e377d4fc184680d697b95c78b,,https://s3.datadex.cn/uploads/6bab3299e5d740b8ad01b67918bb83e7/20220909161257/%E5%9B%BE%E7%89%879.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=rqErGtLyp5eP38F7%2F20260124%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260124T132002Z&X-Amz-Expires=18000&X-Amz-SignedHeaders=host&X-Amz-Signature=b193384e5d9db0c94c56551b749ee7994ea4bbcce044f5456505e72fa9a39aa9,交通出行态势分析,,,,other,,,,,,,,,,,,,,,1002,,,,1,2022-11-25 16:08:22,,,,
